Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Sensor Module Replacement Date,pH Range 4.00-7.00 Delta Slope,pH Range 4.00-7.00 mV per Decade,pH Range 7.00-10.00 Delta Slope,pH Range 7.00-10.00 mV per Decade,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Standard 3,Pre Calibration Value 3,Post Calibration Value 3,Raw Value 3,Temperature 3,Stability Achieved 3,pH Range 4.00-7.02 Delta Slope,pH Range 4.00-7.02 mV per Decade,pH Range 7.02-10.06 Delta Slope,pH Range 7.02-10.06 mV per Decade,pH Range 7.02-10.03 Delta Slope,pH Range 7.02-10.03 mV per Decade,Timespan,Correction1,Correction2,Correction3
2023-05-23 10:27:02,7/12/2023 11:03:40 AM,2023-07-12 11:16:22,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.0,7.02,-31.8 mV,21.030 °C,Yes,4.00 pH,3.98,4.0,141.8 mV,20.995 °C,Yes,10.06 pH,10.09,10.07,-209.0 mV,20.855 °C,Yes,173.6 mV,57.48,177.2 mV,58.30,,,50 days 00:49:20,0.019999999999999574,0.020000000000000018,-0.019999999999999574
2023-07-12 11:16:22,8/18/2023 10:18:29 AM,2023-08-18 10:27:31,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.18,7.02,-41.8 mV,20.668 °C,Yes,4.00 pH,4.12,4.0,134.9 mV,20.471 °C,Yes,10.06 pH,10.17,10.05,-214.8 mV,20.386 °C,Yes,176.7 mV,58.50,173.0 mV,56.90,,,36 days 23:11:09,-0.16000000000000014,-0.1200000000000001,-0.11999999999999922
2023-08-18 10:27:31,9/27/2023 11:53:10 AM,2023-09-27 12:11:13,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.07,7.02,-43.0 mV,20.533 °C,Yes,4.00 pH,4.01,4.0,133.8 mV,20.729 °C,Yes,10.06 pH,10.04,10.04,-215.0 mV,21.162 °C,Yes,176.9 mV,58.56,172.0 mV,56.58,,,40 days 01:43:42,-0.05000000000000071,-0.009999999999999787,0.0
2023-09-27 12:11:13,10/25/2023 10:06:04 AM,2023-10-25 10:21:18,CompletedWithWarnings,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.11,7.02,-45.9 mV,19.741 °C,Yes,4.00 pH,4.0,4.0,132.0 mV,19.484 °C,Yes,10.06 pH,10.11,10.04,-217.8 mV,19.383 °C,Yes,177.9 mV,58.90,171.9 mV,56.55,,,27 days 22:10:05,-0.09000000000000075,0.0,-0.07000000000000028
2023-10-25 10:21:18,4/19/2024 11:39:51 AM,2024-04-19 11:45:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,,,176.5 mV,58.83,7.00 pH,6.77,7.0,-29.3 mV,19.675 °C,Yes,10.00 pH,9.83,10.0,-205.8 mV,19.646 °C,Yes,,,,,,,,,,,,,177 days 01:23:53,0.23000000000000043,0.16999999999999993,
2023-10-25 10:21:18,4/19/2024 11:39:51 AM,2024-04-19 11:45:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,,,176.5 mV,58.83,7.00 pH,6.77,7.0,-29.3 mV,19.675 °C,Yes,10.00 pH,9.83,10.0,-205.8 mV,19.646 °C,Yes,,,,,,,,,,,,,177 days 01:23:53,0.23000000000000043,0.16999999999999993,
2024-04-19 11:45:11,4/19/2024 11:46:41 AM,2024-04-19 11:53:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,172.2 mV,57.40,176.2 mV,58.73,10.00 pH,9.95,10.0,-203.0 mV,19.636 °C,Yes,7.00 pH,6.96,7.0,-26.8 mV,19.631 °C,Yes,4.00 pH,4.02,4.01,145.4 mV,18.980 °C,Yes,,,,,,,0 days 00:07:58,0.05000000000000071,0.040000000000000036,-0.009999999999999787
2024-04-19 11:45:11,4/19/2024 11:46:41 AM,2024-04-19 11:53:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,172.2 mV,57.40,176.2 mV,58.73,10.00 pH,9.95,10.0,-203.0 mV,19.636 °C,Yes,7.00 pH,6.96,7.0,-26.8 mV,19.631 °C,Yes,4.00 pH,4.02,4.01,145.4 mV,18.980 °C,Yes,,,,,,,0 days 00:07:58,0.05000000000000071,0.040000000000000036,-0.009999999999999787
2024-04-19 11:53:09,5/24/2024 11:55:59 AM,2024-05-24 12:10:09,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,173.0 mV,57.66,171.1 mV,57.02,4.00 pH,4.33,4.0,128.4 mV,21.555 °C,Yes,7.00 pH,7.28,7.0,-44.5 mV,21.579 °C,Yes,10.00 pH,10.21,10.0,-215.6 mV,20.883 °C,Yes,,,,,,,35 days 00:17:00,-0.33000000000000007,-0.28000000000000025,-0.21000000000000085
2024-05-24 12:10:09,5/24/2024 12:43:13 PM,2024-05-24 12:54:12,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,177.6 mV,59.19,175.7 mV,58.55,4.00 pH,3.86,4.0,135.8 mV,20.402 °C,Yes,7.00 pH,6.96,7.0,-41.8 mV,20.802 °C,Yes,10.00 pH,10.03,9.99,-217.4 mV,20.514 °C,Yes,,,,,,,0 days 00:44:03,0.14000000000000012,0.040000000000000036,-0.03999999999999915
2024-05-24 12:54:12,6/27/2024 10:39:15 AM,2024-06-27 10:47:20,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,172.6 mV,57.54,177.3 mV,59.11,4.00 pH,4.16,4.0,126.1 mV,20.664 °C,Yes,7.00 pH,7.09,7.0,-46.5 mV,20.068 °C,Yes,10.00 pH,10.11,10.01,-223.9 mV,20.105 °C,Yes,,,,,,,33 days 21:53:08,-0.16000000000000014,-0.08999999999999986,-0.09999999999999964
2024-06-27 10:47:20,8/21/2024 11:01:49 AM,2024-08-21 11:17:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,8/21/2024 12:00:00 AM,180.5 mV,60.16,172.7 mV,57.57,4.00 pH,3.37,4.0,163.3 mV,20.026 °C,Yes,7.00 pH,6.47,7.0,-17.2 mV,19.359 °C,Yes,10.00 pH,9.44,9.98,-189.9 mV,19.667 °C,Yes,,,,,,,55 days 00:29:49,0.6299999999999999,0.5300000000000002,0.5400000000000009
2024-08-21 11:17:09,9/27/2024 10:18:08 AM,2024-09-27 10:34:17,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,8/21/2024 12:00:00 AM,176.4 mV,58.81,167.3 mV,55.78,4.00 pH,4.21,4.0,149.2 mV,19.285 °C,Yes,7.00 pH,7.21,7.0,-27.3 mV,19.252 °C,Yes,10.00 pH,10.07,9.97,-194.6 mV,18.811 °C,Yes,,,,,,,36 days 23:17:08,-0.20999999999999996,-0.20999999999999996,-0.09999999999999964
