Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Cell Constant,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Timespan,Correction1,Before Value,After Value,Difference
2022-06-20 13:21:10,9/21/2022 2:56:02 PM,2022-09-21 14:59:38,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1005.5,1000.0,0.0 µS/cm,18.997 °C,Yes,93 days 01:38:28,-5.5,45.7,45.48,-0.22000000000000597
2022-09-21 14:59:38,11/2/2022 12:37:48 PM,2022-11-02 12:39:29,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,995.6,1000.0,0.0 µS/cm,19.297 °C,Yes,41 days 21:39:51,4.399999999999977,,,
2022-11-02 12:39:29,4/13/2023 4:20:16 PM,2023-04-13 16:24:33,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.46,1000.0 µS/cm,1048.8,1000.0,0.0 µS/cm,19.515 °C,Yes,162 days 03:45:04,-48.79999999999996,,,
2023-04-13 16:24:33,5/23/2023 10:03:45 AM,2023-05-23 10:10:47,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,940.0,1000.0,0.0 µS/cm,20.029 °C,Yes,39 days 17:46:14,60.0,,,
2023-05-23 10:10:47,7/12/2023 11:18:34 AM,2023-07-12 11:23:42,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.6,1000.0,0.0 µS/cm,20.707 °C,Yes,50 days 01:12:55,0.3999999999999772,,,
2023-07-12 11:23:42,8/18/2023 10:28:34 AM,2023-08-18 10:30:26,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1004.9,1000.0,0.0 µS/cm,19.737 °C,Yes,36 days 23:06:44,-4.899999999999977,,,
2023-08-18 10:30:26,9/27/2023 12:13:14 PM,2023-09-27 12:15:10,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1002.1,1000.0,0.0 µS/cm,19.876 °C,Yes,40 days 01:44:44,-2.1000000000000227,,,
2023-09-27 12:15:10,10/25/2023 10:23:07 AM,2023-10-25 10:26:04,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,996.7,1000.0,0.0 µS/cm,19.370 °C,Yes,27 days 22:10:54,3.2999999999999545,,,
2023-10-25 10:26:04,4/19/2024 11:54:56 AM,2024-04-19 11:56:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,Yes,177 days 01:30:21,0.7999999999999545,,,
2023-10-25 10:26:04,4/19/2024 11:54:56 AM,2024-04-19 11:56:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,Yes,177 days 01:30:21,0.7999999999999545,,,
2024-04-19 11:56:25,8/21/2024 11:17:51 AM,2024-08-21 11:20:50,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1013.6,1000.0,0.0 µS/cm,19.724 °C,Yes,123 days 23:24:25,-13.600000000000025,,,
2024-08-21 11:20:50,9/27/2024 10:36:33 AM,2024-09-27 10:38:27,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1006.8,1000.0,0.0 µS/cm,19.085 °C,Yes,36 days 23:17:37,-6.7999999999999545,,,
